#{"t_start": 1760136398.587804, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
405.1,220,6.367956
1721.1,2350,34.060218
222.4,162,35.862401
998.6,1075,48.150562
942.0,1296,62.76431
598.2,324,66.643765
741.5,1006,78.036992
235.6,140,79.565206
839.4,2427,106.953034
229.7,184,109.002514
831.5,2481,137.220773
739.7,854,146.849332
230.9,202,149.092624
1362.7,2594,178.28556
1139.5,2491,206.603353
540.9,1262,220.763927
887.7,1824,241.379026
606.3,358,245.316518
236.1,150,246.981576
599.9,602,253.916777
567.3,448,258.849766
604.1,630,266.041537
203.8,328,269.626631
596.1,250,272.682452
638.5,996,283.950565
221.1,170,285.838097
225.2,164,287.676998
205.1,210,290.004275
943.9,2412,317.066777
562.6,1050,329.288844
233.8,148,330.920699
1179.9,1832,351.313274
218.3,148,353.212306
242.1,130,354.638122
709.1,930,365.115056
367.9,3642,406.052739
721.9,1212,419.70202
190.8,218,422.370772
990.6,770,430.826184
216.4,202,433.324649
707.5,686,440.829202
1189.6,1725,460.381799
765.6,780,469.168242
603.5,396,473.536149
219.9,222,475.962166
674.9,1312,490.999515
1009.2,684,498.558228
750.7,3214,534.708985
588.1,630,541.931332
993.9,762,550.568075
941.9,1527,567.79837
203.9,182,569.81705
686.4,1052,581.6629
605.7,324,585.500724
602.9,382,589.711201
599.9,342,593.48461
605.0,456,598.803847
235.8,158,600.556436
548.1,770,609.330679
584.6,450,614.305987
228.1,150,615.984684
1166.2,1999,638.428056
608.6,450,643.670362
227.6,220,646.111551
227.5,196,648.274923
1178.8,1858,669.268685
582.2,554,675.616758
607.6,600,682.190399
205.4,192,684.428173
245.4,122,685.780542
214.4,182,688.043472
652.3,878,697.756872
774.9,682,705.555012
653.2,1054,717.376118
238.2,144,718.949438
673.3,838,728.432878
597.1,370,732.790903
591.9,452,737.772005
575.6,510,743.460896
230.2,214,746.134506
690.7,514,751.863168
583.8,428,756.90068
217.9,172,758.818804
1226.4,1282,773.355186
791.8,2793,805.044512
1266.5,1026,816.61143
918.2,1759,836.343652
213.8,168,838.476333
758.2,844,847.859572
232.3,178,850.125927
973.7,1034,861.938642
754.9,882,872.100151
593.5,396,876.585392
949.6,1195,890.369061
234.3,128,891.791822
1103.5,686,899.752771
241.0,136,901.275542
602.3,648,908.694323
967.1,1050,920.536026
996.7,3839,963.889075
211.6,180,966.156868
235.2,144,967.744883
232.8,168,969.591124
954.4,1252,983.631822
571.8,458,988.921478
604.9,462,994.043012
240.4,142,995.626924
965.6,1060,1007.503923
1228.7,1339,1022.487585
1221.7,1374,1038.164475
1285.6,885,1048.292613
568.1,480,1053.554087
1019.3,513,1059.455561
663.3,878,1069.404604
563.7,454,1074.379836
602.2,654,1081.836693
557.9,392,1086.146024
789.7,534,1092.288625
965.6,1070,1104.31679
970.3,988,1115.456575
1296.3,683,1122.947043
577.5,446,1128.148118
608.7,394,1132.493359
1268.1,890,1142.587257
742.5,1006,1153.909635
605.3,618,1160.719614
917.8,1503,1178.013236
1186.9,1682,1197.267164
557.8,468,1202.490259
599.4,362,1206.54316
614.9,312,1210.3065
227.9,142,1211.934885
573.3,478,1217.417244
993.1,760,1226.377959
1270.3,903,1237.104183
1007.0,841,1246.984272
1429.8,1008,1258.843724
1275.5,906,1269.466885
697.4,1462,1286.467314
959.5,1176,1300.085344
576.1,410,1305.032107
223.2,144,1306.711143
949.0,1266,1321.364846
1118.8,678,1329.264942
964.2,1144,1342.248146
579.0,456,1347.257202
1863.1,1450,1363.961135
1285.7,874,1374.233767
1304.7,1364,1390.128963
746.8,968,1401.402967
237.8,148,1403.175974
604.5,616,1410.591897
720.1,700,1418.609062
240.4,132,1420.097521
608.3,328,1424.080752
239.2,144,1425.732879
1252.9,1077,1438.261718
228.9,152,1439.994612
573.5,526,1446.248417
743.9,682,1454.007602
979.7,1119,1466.960677
594.3,398,1471.752905
211.2,174,1473.728672
227.2,154,1475.491323
1330.1,1330,1490.850711
1317.7,1384,1507.114358
598.9,342,1510.945949
1048.8,483,1516.232509
226.8,158,1518.240777
573.3,728,1526.383737
593.5,426,1531.376652
229.2,164,1533.179454
581.7,394,1537.558071
725.3,718,1545.744871
632.3,338,1549.541147
700.9,542,1555.877021
562.9,432,1560.798396
676.1,780,1570.003201
996.9,732,1578.766014
228.2,164,1580.766523
586.7,384,1586.502875
642.5,1066,1599.222155
223.0,156,1601.028803
584.9,472,1606.704489
233.3,128,1608.11598
1111.1,670,1615.786047
621.5,1306,1630.572709
737.6,1060,1642.620452
756.4,672,1650.609968
1189.5,1646,1669.162903
692.1,640,1676.492398
239.3,148,1678.097511
235.5,166,1679.930152
221.5,146,1681.538127
587.5,366,1685.867037
573.2,484,1691.194946
588.4,2032,1714.692411
605.8,418,1719.814335
771.8,718,1728.122799
1009.3,623,1735.685108
1303.2,729,1744.332343
987.6,845,1754.020234
1028.8,658,1761.768847
223.5,166,1763.796618
1226.4,1407,1780.560341
994.1,780,1789.613207
994.6,730,1798.352583
239.2,144,1800.006356
1295.0,771,1809.155564
237.4,152,1810.873186
242.0,126,1812.30109
575.2,424,1817.483682
713.6,730,1825.845204
600.5,326,1829.836824
994.9,742,1838.307113
235.8,138,1840.153005
1304.4,722,1848.485016
608.9,582,1855.568424
877.7,1954,1880.084774
2086.1,1090,1892.997481
591.7,314,1896.564645
737.9,642,1904.076077
605.3,418,1908.687403
1819.3,1398,1924.642738
240.7,144,1926.257044
777.5,656,1933.518662
609.5,306,1937.200809
749.9,702,1945.10073
989.0,851,1955.051732
630.9,362,1959.320969
589.1,410,1963.910242
230.6,170,1965.84164
606.6,370,1970.050507
207.2,194,1972.556821
241.4,142,1974.231094
584.3,448,1979.301203
605.5,366,1983.734579
231.0,136,1985.289399
224.4,142,1986.925892
1290.0,771,1996.02953
992.1,810,2005.461722
217.3,168,2007.687014
1017.6,555,2014.088871
232.5,126,2015.517318
220.1,170,2017.537599
615.1,340,2021.745337
220.6,150,2023.503941
592.6,290,2026.780932
1306.6,685,2034.88445
235.1,130,2036.361679
1273.2,1029,2048.396625
241.5,126,2049.84882
603.5,326,2053.630661
221.9,192,2056.122495
227.1,170,2058.025004
985.9,1057,2070.365031
242.7,124,2071.769858
232.1,150,2073.49231
618.4,322,2077.161919
